comment_id,task_id,user_id,text,created_at
dfd70a56-369b-4765-ae18-2432948ee863,937fa228-3d2f-4c31-97bc-78f94b07f3c5,30add9c3-fee6-4538-8aa9-3acaa70038a3,Can we prioritize this?,2026-01-06 12:37:49
077b0a8b-ecf3-4308-970d-b4322cb39c9f,802437a1-8235-4ea6-b07f-68081087ee60,812099c8-8401-416b-8914-5f36d9d8f033,"Blocked due to dependency, will update.",2026-01-06 12:37:49
60840495-44f8-4dc3-808d-a7903790f92b,6e444c28-9c7a-4758-96af-ee3d2f1aa14a,2b6b038e-50fa-4ecc-8ea5-d9de45f9b8a8,Please review this when you get time.,2026-01-06 12:37:49
f686387d-cdcf-40dc-bf8d-b9160c24ebb9,6e444c28-9c7a-4758-96af-ee3d2f1aa14a,26691afa-6d6c-4452-a4d2-aa875f9067a3,"Blocked due to dependency, will update.",2026-01-06 12:37:49
2fd8b138-58ea-4fa3-9985-ebee79274ce2,93e38032-b13f-4fc0-b57d-c271a1837a11,7181d4c9-0272-4b4c-a17a-da5d0be2f47a,"Blocked due to dependency, will update.",2026-01-06 12:37:49
8c79ad80-65d3-4d10-a02b-e2feecf1b63a,93e38032-b13f-4fc0-b57d-c271a1837a11,9e863380-093d-4ff8-b4ee-3ab241ef0e7d,Can we prioritize this?,2026-01-06 12:37:49
87857137-8331-4fa9-84e4-de48966d3e36,91a17768-def2-4fd6-9a5a-a5825a4fe170,5b770876-14e8-416e-871a-84da0161d323,Please review this when you get time.,2026-01-06 12:37:49
5c75a035-7957-4609-99ff-b944868b3879,87abc6a1-e066-4f1f-b98f-4b261330970f,f86692a7-94ad-4867-a76d-03975ac42388,This looks good to me.,2026-01-06 12:37:49
f1c71bf5-bde0-4af2-bc8b-85e2c9f447f2,87abc6a1-e066-4f1f-b98f-4b261330970f,60f0e84b-f303-4dea-ab6b-3a3a4f218525,Let’s discuss this in standup.,2026-01-06 12:37:49
127a381a-5131-44f2-9dee-17d91d26a194,8559a92e-f353-4809-a37d-207dc4736f88,47c3b706-1467-452f-a7d0-9ec7e854bbe2,Can we prioritize this?,2026-01-06 12:37:49
6b6514c8-b068-4d19-8051-49654df3bcd4,db4cbf4f-957e-4a9d-834f-5b451228dec6,fe1f013f-adfc-4ff6-b76f-ebabdd77724d,Needs clarification from stakeholders.,2026-01-06 12:37:49
e6787bff-2874-4aed-b585-191a1bbdca78,db4cbf4f-957e-4a9d-834f-5b451228dec6,e3538c55-787f-474d-86e9-70982a3e6b53,Please review this when you get time.,2026-01-06 12:37:49
ecd88724-f984-4a8a-9fcd-1f7f82ac4d54,db4cbf4f-957e-4a9d-834f-5b451228dec6,53ff1bb8-c402-4bf7-8903-1addd69aae9e,Let’s discuss this in standup.,2026-01-06 12:37:49
07dd217f-65d2-4ce1-8a32-b21d9339570c,3a04829a-2986-4dcf-81f3-e752d561ed7e,4bde3fd7-e0d0-44cd-8ea1-2a6838852e67,Needs clarification from stakeholders.,2026-01-06 12:37:49
a1b861f3-61e3-4fd5-9789-46f833eb0437,3a04829a-2986-4dcf-81f3-e752d561ed7e,85b9a341-89f1-4fe1-9f7a-834c7fa0249f,Needs clarification from stakeholders.,2026-01-06 12:37:49
89328760-bc1a-49ae-9bd0-7b7a39c8d83d,3a04829a-2986-4dcf-81f3-e752d561ed7e,588e2b6f-4ad5-40b9-8aab-a77eb5a2899f,This looks good to me.,2026-01-06 12:37:49
0204f632-b29a-42e6-a594-8dc88a42abcb,7dfef6d4-ca82-48b6-a544-a421b7ebfe4f,0a5fec33-f24b-4456-93a4-43cd4046ed9b,Pushing this to next sprint.,2026-01-06 12:37:49
