team_id,workspace_id,name
5ad6dabe-8200-47a5-91a9-bd6a5f034740,workspace-001,Team 1
0fe72436-5906-4b60-88a0-a5a26e47bacb,workspace-001,Team 2
06993362-331a-47f9-8eaa-871034bc90df,workspace-001,Team 3
b1594977-59e5-49bb-a30c-87d0633518ae,workspace-001,Team 4
1e0fb4af-5a8d-4d58-bc9e-e606059cb169,workspace-001,Team 5
79056741-2274-4e8b-bbb2-ab335b274f54,workspace-001,Team 6
928c40ff-f5e8-4c77-a6b1-629382744e66,workspace-001,Team 7
b179d232-785c-481b-8603-489b3cab9fcc,workspace-001,Team 8
4d9db240-6c7f-4c06-8e42-b5363e900e20,workspace-001,Team 9
a0fbd60a-b04f-418a-a0df-ea9ff98ed2f8,workspace-001,Team 10
281dccb8-374d-4847-a691-845b99162d5a,workspace-001,Team 11
71c7862c-2c03-4993-b5c9-2575bea14b79,workspace-001,Team 12
3478c690-f397-475d-89f7-d521fc3646d6,workspace-001,Team 13
b6a35ab4-7829-46d5-be63-1dc10d0ab9a2,workspace-001,Team 14
09002199-f21c-45ab-8532-6fe8e4c5d352,workspace-001,Team 15
6fbccd39-108d-4b25-8635-3d953687ff71,workspace-001,Team 16
791f1a5a-d86a-4ed7-b749-83f7f798b0dd,workspace-001,Team 17
53dee95b-4b0e-4106-b351-53a0207ce458,workspace-001,Team 18
7e21ceb7-ae95-4d30-ba6c-bb6d990be5c5,workspace-001,Team 19
4a83342b-16e2-4567-b1ce-dd074df4d244,workspace-001,Team 20
