task_id,project_id,section_id,parent_task_id,name,description,assignee_id,due_date,created_at,completed,completed_at
d09bf2a4-c210-4a31-80cc-aaf4d4d5cdf0,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Analyze Ad creatives,"Objective:
Analyze Ad creatives

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",,2026-01-28,2025-10-31 18:07:48.671003,0,
a6565631-4a58-4514-a111-c308c91df1bf,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Draft SEO keywords,"Objective:
Draft SEO keywords

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",505490eb-89cd-4fc7-8654-d32af2be95e5,2026-04-02,2025-09-30 18:07:48.671003,0,
0b0b12bf-3c8d-4ae0-a2f3-7bb9dc56dc14,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Analyze Email sequence,"Objective:
Analyze Email sequence

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",1ec45247-9864-4334-8912-5c910f9a556f,2026-03-13,2025-12-29 18:07:48.671003,1,2026-01-07 18:07:48.671003
d8c98823-1f09-40e1-b07e-b9b9fbd19956,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Analyze Q2 campaign,"Objective:
Analyze Q2 campaign

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",50715e3f-29af-4507-94ec-f3d9cc976267,2026-03-19,2025-10-02 18:07:48.671003,1,2025-10-05 18:07:48.671003
937fa228-3d2f-4c31-97bc-78f94b07f3c5,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Publish Landing page,"Objective:
Publish Landing page

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",2db6e77d-e8b1-42da-902f-4ea16500e301,2026-01-07,2025-09-20 18:07:48.671003,1,2025-09-23 18:07:48.671003
b4bdb1e0-a523-48ba-ba66-953af8938ef4,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Review Ad creatives,"Objective:
Review Ad creatives

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",6f5b79e4-88d3-495b-9847-f4437fba4a40,2026-03-17,2025-10-20 18:07:48.671003,1,2025-10-23 18:07:48.671003
802437a1-8235-4ea6-b07f-68081087ee60,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Publish Email sequence,"Objective:
Publish Email sequence

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",360cd11f-57f8-4cb6-9e8b-4110ca15ee9b,2026-01-24,2025-09-24 18:07:48.671003,1,2025-10-07 18:07:48.671003
c153f4db-798d-4e3e-98b4-67cd9924c3bf,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Launch Landing page,"Objective:
Launch Landing page

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",6327f374-eafa-4427-b87e-c2070b6e9da7,,2025-12-31 18:07:48.671003,1,2026-01-11 18:07:48.671003
73f45ded-4714-44b6-84df-69afc029956d,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Launch Q2 campaign,"Objective:
Launch Q2 campaign

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",2b97b4c6-66d2-407d-96a7-c64e80aea752,2026-03-10,2025-11-11 18:07:48.671003,1,2025-11-15 18:07:48.671003
6e444c28-9c7a-4758-96af-ee3d2f1aa14a,6b112919-b988-4b2c-89b0-42b9eb6d334f,a34efb36-f9f9-4875-93e2-4bf001cb23d2,,Draft SEO keywords,"Objective:
Draft SEO keywords

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",c7d03a10-e84d-4c22-b376-b53128fe4de6,2026-01-25,2025-11-10 18:07:48.671003,0,
