task_id,tag_id
a6565631-4a58-4514-a111-c308c91df1bf,6c5e34aa-ce84-46b0-8009-f8569653f507
cdf20ea8-fce6-4143-a121-151ba22e34cf,22d889c9-fb7e-4611-9c2c-4359ea7d345f
93e38032-b13f-4fc0-b57d-c271a1837a11,22d889c9-fb7e-4611-9c2c-4359ea7d345f
93e38032-b13f-4fc0-b57d-c271a1837a11,56f39173-9fb9-4227-9a63-f7f06a849912
05277872-d8bf-4a50-9f16-b25807f8016d,98eaf14b-7c8b-4761-b01c-7df5c1b81eea
c1c83f8b-1ac0-4169-86ba-4cbdea1b84c0,4de82cf2-7772-414b-b84f-e28cefd91b5d
91a17768-def2-4fd6-9a5a-a5825a4fe170,dc33c54e-d8a5-4b71-8d89-4f75a05a19b3
91a17768-def2-4fd6-9a5a-a5825a4fe170,56f39173-9fb9-4227-9a63-f7f06a849912
9bbee38f-dae5-43a2-b2a5-1cb290149709,40f8daab-a696-4e3d-b4f3-f7cc8ab6158f
122e43d4-7537-4a6f-8194-6198da530af7,6c5e34aa-ce84-46b0-8009-f8569653f507
122e43d4-7537-4a6f-8194-6198da530af7,c0a05f73-ae78-49cb-8eb9-30770ca9d7af
87abc6a1-e066-4f1f-b98f-4b261330970f,a82e9361-f80c-4e65-8a3a-c5f5e1c48ebf
8559a92e-f353-4809-a37d-207dc4736f88,98eaf14b-7c8b-4761-b01c-7df5c1b81eea
8559a92e-f353-4809-a37d-207dc4736f88,2bac4569-dba1-4442-916a-27251e165dea
db4cbf4f-957e-4a9d-834f-5b451228dec6,a82e9361-f80c-4e65-8a3a-c5f5e1c48ebf
8a880aab-bbd3-497b-b439-e8f24e3f267f,a82e9361-f80c-4e65-8a3a-c5f5e1c48ebf
8a880aab-bbd3-497b-b439-e8f24e3f267f,56f39173-9fb9-4227-9a63-f7f06a849912
9d091f83-b5a3-4aae-b41a-3ed60fcea9c1,22d889c9-fb7e-4611-9c2c-4359ea7d345f
926ee01d-d844-4e28-91ba-2a9551b5eeef,98eaf14b-7c8b-4761-b01c-7df5c1b81eea
926ee01d-d844-4e28-91ba-2a9551b5eeef,22d889c9-fb7e-4611-9c2c-4359ea7d345f
8c329768-4778-42d9-b219-4bc0051e00b0,a82e9361-f80c-4e65-8a3a-c5f5e1c48ebf
b084aafe-7ca0-47eb-9012-4d1610994220,4de82cf2-7772-414b-b84f-e28cefd91b5d
b084aafe-7ca0-47eb-9012-4d1610994220,40f8daab-a696-4e3d-b4f3-f7cc8ab6158f
f9b8d3d2-1fec-4e80-ab51-d836bbe56cc8,56f39173-9fb9-4227-9a63-f7f06a849912
6329c58c-e129-4da5-8c68-3deaddba8167,2bac4569-dba1-4442-916a-27251e165dea
2fb0a1dd-eaed-4793-a34d-4816dc7cff9b,56f39173-9fb9-4227-9a63-f7f06a849912
2fb0a1dd-eaed-4793-a34d-4816dc7cff9b,c0a05f73-ae78-49cb-8eb9-30770ca9d7af
eb4fa89e-8de6-453d-9fb9-1c59d87dd1d5,22d889c9-fb7e-4611-9c2c-4359ea7d345f
eb4fa89e-8de6-453d-9fb9-1c59d87dd1d5,56f39173-9fb9-4227-9a63-f7f06a849912
cebb965d-3862-462a-8674-88c27ba2aea1,6c5e34aa-ce84-46b0-8009-f8569653f507
cebb965d-3862-462a-8674-88c27ba2aea1,a82e9361-f80c-4e65-8a3a-c5f5e1c48ebf
7bc50379-16d1-4345-b80e-7a1dc1724a95,4de82cf2-7772-414b-b84f-e28cefd91b5d
