task_id,project_id,section_id,parent_task_id,name,description,assignee_id,due_date,created_at,completed,completed_at
8a5ea67e-b91e-41cc-9d2d-3570b3077bb3,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Investigate Database schema,"Objective:
Investigate Database schema

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",138fe5d5-3801-445c-beab-35bad48c4318,2026-03-20,2025-09-08 17:23:44.416114,0,
e3ec38da-7f65-42f7-bfce-58f29832b6ff,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,8a5ea67e-b91e-41cc-9d2d-3570b3077bb3,Fix Dashboard UI,"Objective:
Fix Dashboard UI

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",21e25cac-d9f1-4cf0-a8b9-3b7de1fc72be,,2025-12-02 17:23:44.416114,1,2025-12-13 17:23:44.416114
9a207a22-db8e-472e-8b36-a1fd96b52503,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,8a5ea67e-b91e-41cc-9d2d-3570b3077bb3,Optimize Dashboard UI,"Objective:
Optimize Dashboard UI

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",33b2b66a-4ab0-405c-87b7-b8df4cbbbabd,2026-02-14,2025-08-20 17:23:44.416114,0,
78635aa7-e456-419d-8e66-b6b4fef71f0a,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Optimize Search API,"Objective:
Optimize Search API

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",,2026-03-25,2025-10-03 17:23:44.416114,1,2025-10-08 17:23:44.416114
bc1040c0-780b-4f3c-9485-1469a9464886,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,78635aa7-e456-419d-8e66-b6b4fef71f0a,Investigate Database schema,"Objective:
Investigate Database schema

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",3f648330-d220-4593-aafd-95042cdf8043,2026-03-25,2025-08-27 17:23:44.416114,0,
cdba4ffb-afad-4211-a2ef-1091cd536abf,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Implement Database schema,"Objective:
Implement Database schema

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",8a234845-670c-4093-9129-cb149319d686,2026-02-11,2025-10-17 17:23:44.416114,1,2025-10-25 17:23:44.416114
ad626b26-705f-44fc-bd76-7b7824e6bf32,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,78635aa7-e456-419d-8e66-b6b4fef71f0a,Fix Auth service,"Objective:
Fix Auth service

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",c48ec350-a4c5-4136-8bff-57f284f163a1,2026-01-22,2025-08-27 17:23:44.416114,1,2025-08-30 17:23:44.416114
9d0fadc4-6057-4ba0-81ba-524e89e27839,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Investigate Dashboard UI,"Objective:
Investigate Dashboard UI

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",839c18a5-e34a-4dca-a637-72e838fd1a9a,2026-03-03,2025-09-28 17:23:44.416114,1,2025-10-03 17:23:44.416114
ad9011b3-b1ca-4656-bd5f-7e455cd5620f,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Fix Payment flow,"Objective:
Fix Payment flow

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",389f84e2-3183-486a-9d9a-e661f0808c45,2026-03-27,2025-07-21 17:23:44.416114,1,2025-07-28 17:23:44.416114
19f78175-11a4-4a25-b1f4-a9087177745b,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Implement Search API,"Objective:
Implement Search API

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",108f1a0c-0e49-476a-9e81-7c9fdec2b5ad,2026-02-24,2025-08-25 17:23:44.416114,0,
d6f51b29-809f-4101-8163-03397a09b815,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,8a5ea67e-b91e-41cc-9d2d-3570b3077bb3,Remove Auth service,"Objective:
Remove Auth service

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",8ec941d4-c79e-4779-bf22-75121d4600fb,2026-03-05,2025-12-22 17:23:44.416114,0,
093a1d33-1a04-4f01-94a3-c6e8ae959d0f,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Migrate Payment flow,"Objective:
Migrate Payment flow

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",3bcf5383-3293-4874-9261-e1876ba93827,2026-03-02,2025-09-30 17:23:44.416114,1,2025-10-08 17:23:44.416114
a8f59fe2-150b-43a3-81b3-94be80cc026d,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Refactor Payment flow,"Objective:
Refactor Payment flow

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",,2026-02-20,2025-10-20 17:23:44.416114,1,2025-10-27 17:23:44.416114
354dd771-6463-407e-b03e-2eadd67cb352,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Optimize Search API,"Objective:
Optimize Search API

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",11edd26b-4e08-4fa8-b2ae-05544058180c,2026-01-08,2025-09-04 17:23:44.416114,0,
5729e9c1-cf3b-4b0a-bb6d-b19014d4985d,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Implement Notification system,"Objective:
Implement Notification system

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",45f43f27-a2e2-4a0a-bfbb-fe63b831a08f,2026-01-31,2025-09-20 17:23:44.416114,0,
1a72f14c-749f-4a14-adc9-1118a6e34f4e,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Implement Dashboard UI,"Objective:
Implement Dashboard UI

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",e5e9a40c-534f-483d-b032-a0833c63776a,2026-03-15,2025-10-03 17:23:44.416114,1,2025-10-17 17:23:44.416114
496ff3f8-b873-44ac-a564-f7bfc0e05735,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Optimize Database schema,"Objective:
Optimize Database schema

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",2b969d2b-bd84-44bc-9572-90ca3a4470a6,2026-03-29,2025-12-19 17:23:44.416114,0,
c07120bf-295d-4ee5-8713-804c9a7c5441,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,19f78175-11a4-4a25-b1f4-a9087177745b,Migrate Notification system,"Objective:
Migrate Notification system

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",e88de108-c103-465d-957f-0a30be0bf64e,,2025-11-17 17:23:44.416114,1,2025-11-26 17:23:44.416114
3fc7d691-b3d1-4763-8b94-9b65c16066f9,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Fix Database schema,"Objective:
Fix Database schema

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",05dda558-f10f-4490-aa63-10de55e045d8,2026-01-19,2025-11-23 17:23:44.416114,1,2025-12-03 17:23:44.416114
edd5d56b-9fdf-48af-a6fe-41a4e32a4040,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,ad9011b3-b1ca-4656-bd5f-7e455cd5620f,Implement Database schema,"Objective:
Implement Database schema

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",ef179134-f8b7-4dfe-ac3e-84b883b5b197,,2025-10-03 17:23:44.416114,1,2025-10-10 17:23:44.416114
1c56806b-e073-442e-bb77-5f9439a043ae,db75fa86-27fd-4c10-bc93-891581bac504,9d4ea098-9387-488f-b079-fd65ec8a5509,,Refactor Payment flow,"Objective:
Refactor Payment flow

Details:
- Review current implementation
- Apply necessary changes
- Validate with stakeholders

Acceptance Criteria:
- No regressions introduced
- Task meets expected outcome",,2026-01-21,2025-10-21 17:23:44.416114,1,2025-10-29 17:23:44.416114
