section_id,project_id,name,position
904c7089-44aa-458d-9330-5814a2e7e16e,db75fa86-27fd-4c10-bc93-891581bac504,Backlog,0
9d4ea098-9387-488f-b079-fd65ec8a5509,db75fa86-27fd-4c10-bc93-891581bac504,In Progress,1
b0a394c5-7e71-4539-b1a4-b58fd08784cf,db75fa86-27fd-4c10-bc93-891581bac504,Code Review,2
0d03dd4c-63d0-43e3-b4d5-ef15822723c8,db75fa86-27fd-4c10-bc93-891581bac504,Done,3
5387b1af-d3b1-4688-9056-689971e6f5ac,e53a4d88-e9e0-4ccb-a54d-51696aec4901,To Do,0
da74cf29-3634-412a-9e19-ec902f7089c4,e53a4d88-e9e0-4ccb-a54d-51696aec4901,In Progress,1
8a598f32-0372-46b5-89a5-57837423b0de,e53a4d88-e9e0-4ccb-a54d-51696aec4901,Waiting,2
491cbd2c-143b-4dd6-a011-c7ceaef442dc,e53a4d88-e9e0-4ccb-a54d-51696aec4901,Done,3
07901acf-2594-4ac5-bfc4-8a7bf640148f,cf33a566-43a6-410c-ad98-0a233fe88148,Ideation,0
23e7e859-e227-42af-9bb7-badc8b063978,cf33a566-43a6-410c-ad98-0a233fe88148,Creation,1
549a44f2-2a26-4caf-8b63-01c6ffac98f0,cf33a566-43a6-410c-ad98-0a233fe88148,Review,2
9c1578b8-095f-450d-ae39-42513dcfae54,cf33a566-43a6-410c-ad98-0a233fe88148,Published,3
1b30e607-c385-4555-bcf8-4cc72333b006,b5512a7e-5608-4313-8329-1ad2dd0f352d,Backlog,0
a6c52e94-5ee7-4366-b82c-873e26305c92,b5512a7e-5608-4313-8329-1ad2dd0f352d,In Progress,1
5ee1ca35-76da-44e8-92b6-b1f97ea59ed1,b5512a7e-5608-4313-8329-1ad2dd0f352d,Code Review,2
61f1ea02-0ae7-48b0-80ab-2e6cd8e720b7,b5512a7e-5608-4313-8329-1ad2dd0f352d,Done,3
f671aa2a-1b02-4261-b6ea-cbbd70fc2fd4,a3b3a052-509e-40b2-b978-367ea2b0b256,To Do,0
a994a907-2b5c-44fc-af39-d3c977182443,a3b3a052-509e-40b2-b978-367ea2b0b256,In Progress,1
daea24e8-a542-4396-814b-f8da7a226f5b,a3b3a052-509e-40b2-b978-367ea2b0b256,Waiting,2
02dda016-a3e5-479b-89ca-dee45d96593a,a3b3a052-509e-40b2-b978-367ea2b0b256,Done,3
c21fa542-f51e-4cbf-b830-b2d8bd1b9460,ed7ca137-d9dc-42e5-8987-ea242ccd2812,Backlog,0
3a3fe7ee-a081-40c4-93d0-06fc459fec34,ed7ca137-d9dc-42e5-8987-ea242ccd2812,In Progress,1
9a721fb6-11fa-4192-903d-110e127a1faa,ed7ca137-d9dc-42e5-8987-ea242ccd2812,Code Review,2
ec397b1d-de86-493f-bf92-a20de9fad921,ed7ca137-d9dc-42e5-8987-ea242ccd2812,Done,3
dc29a7c7-171a-43be-b1d6-e9c3e181f178,a8095f7e-6f9a-43d4-abba-70fd0c5e9fb4,Ideation,0
da5503d2-3836-4337-8108-34b0f852aabc,a8095f7e-6f9a-43d4-abba-70fd0c5e9fb4,Creation,1
fad342c7-7d58-410f-9879-b485d3b6233a,a8095f7e-6f9a-43d4-abba-70fd0c5e9fb4,Review,2
d0d551d1-310f-4b61-b198-1ccabfcecf27,a8095f7e-6f9a-43d4-abba-70fd0c5e9fb4,Published,3
2838e340-921b-44fe-81cb-0e3e402694d6,1465c59b-3d37-4a94-9153-c2a73aa1ab43,Backlog,0
fc149344-f236-4d8b-9917-bdecefadded1,1465c59b-3d37-4a94-9153-c2a73aa1ab43,In Progress,1
1e06c555-680d-4320-b079-81115e706465,1465c59b-3d37-4a94-9153-c2a73aa1ab43,Code Review,2
f64c380c-081c-42b1-aa2f-5a14093c20f6,1465c59b-3d37-4a94-9153-c2a73aa1ab43,Done,3
0849c8d8-0534-459b-a833-1d0112a28bd0,ca3f1f38-08c3-427d-b856-47890c25c18e,Backlog,0
fdb5e1fb-a268-47f4-be48-f12d67c2bf1b,ca3f1f38-08c3-427d-b856-47890c25c18e,In Progress,1
16b97a76-91d5-4e3b-af5b-814f0066dd53,ca3f1f38-08c3-427d-b856-47890c25c18e,Code Review,2
18f60fd6-0ad7-44e1-81e4-5e83d99916d3,ca3f1f38-08c3-427d-b856-47890c25c18e,Done,3
7e6ca911-eb9a-4143-a5d5-a4fc50aaf942,12dbfc72-6bfc-4ad9-b4b6-730c946cfabe,Backlog,0
